full_text,Check refs,wos,scopus,references,link_ref,title,authors,year,Aim,location,cycling,cycling_measurement,lighting,lighting_measurement,measurement_types,research_method,analytical_tool,Unit of analysis,sample,result
1,1,1,1,0,,Perceived Neighborhood Safety and Active Transportation in Adults from Eight Latin American Countries,@castillo-paredes_perceived_2022,2022,Examine associations between perceived neighborhood safety indicators and domain-specific active transportation.,"8 Latin American countries (AR, BR, CL, CO, CR, EC, PE, and VE)",Cycling participation (people who cycled 10 or more min/week) and cycling duration (min/week cycling),Subjective,Streets well lit?,Subjective,Subjective,Correlational,Logistic and linear regression model,person,8547,The odds of cycling participation and duration is not higher in participants who agreed that streets were well lit.
0,0,0,1,0,,"Effect of Ambient Light on the Number of Motorized Vehicles, Cyclists, and Pedestrians",@fotios_effect_2022,2022,Investigate the effect of ambient light level on traffic flow for different types of road user.,Cambridge (UK),Automated cycle counts,Objective ,Ambient light,Objective ,Objective ,Correlational,Daylight savings method using ORs,person,66925,Darkness leads to significant reductions in pedestrians and cyclists but does not have a significant effect on the number of motorized vehicles.
1,1,1,1,0,,Environmental correlates of dock-less shared bicycle trip origins and destinations,@zacharias_environmental_2021,2021,Examine associations between environmental conditions and dock-less bicycle uptake and deposit,Beijing (CN),Dock-less shared bicycle uptake and deposit,Objective ,Lighting (0 = no; 1 = yes),Objective ,Objective ,Correlational,Linear regression model,steet segment,661,Street lighting is positively associated with dock-less shared bicycle uptake and deposit.
1,1,1,1,0,,Road lighting density and brightness linked with increased cycling rates after-dark,@uttley_road_2020,2020,Explore whether road lighting can reduce the negative impact of darkness on cycling rates,Birmingham (UK),Automated cycle counts,Objective ,Lantern density and relative brightness,Objective ,Objective ,Correlational,Whole-year method using ORs,person,-,A non linear relationship was found between relative brightness at a location at night and the reduction in cyclists after-dark.
0,0,1,1,0,,Analysis of the impact of street-scale built environment design near metro stations on pedestrian and cyclist road segment choice: A stated choice experiment,@liu_analysis_2020,2020,NO INCLUDED REASON: specific near metro stations and quality study ,Tianjin (CN),Random people in the street,Subjective,density of street lamps,Subjective,Subjective,Correlational,Multinomical logistic model,,803,Cyclists prefer lamps between 15 m and 30 m.
0,0,1,1,0,,Bicycle facilities safest from crime and crashes: Perceptions of residents familiar with higher crime/lower income neighborhoods in Boston,@lusk_bicycle_2019,2019,NO INCLUDED REASON: on crime and crashes rather than travel behaviour ,,,,,,,,,,,
1,1,1,1,0,,A GPS data-based analysis of built environment influences on bicyclist route preferences,@chen_gps_2018,2018,Examine the effects of built environment on cyclists’route preference,Seattle (US),Cycling trip routes,Objective ,Number of street lights per mile in 50-ft buffers,Objective ,Objective ,Correlational,Route choice modelling and mixed logistic regression models,"Road segment for quantifying the BE, route for discrete choice modeling",197,Some cyclists favor routes which are installed with street lights.
0,0,1,1,0,,Using the daylight savings clock change to show ambient light conditions significantly influence active travel,@uttley_using_2017,2017,Investigate whether ambient light conditions affect the number of people who choose to walk or cycle,Arlington County (US),Automated cycle counts,Objective ,Ambient light,Objective ,Objective ,Correlational,Daylight savings method using ORs,person,-,The numbers of pedestrians (+62%) and cyclists (+38%) were significantly higher during daylight conditions than after-dark. 
1,1,1,1,0,,Estimating welfare change associated with improvements in urban bicycling facilities,@poorfakhraei_estimating_2015,2015,Estimate welfare change as willingness to pay for improvements in bicycling facilities,Montreal (Canada),Students,Subjective,Presence of lighting in dark time trips,Subjective,Subjective,Correlational,A stated preference survey was created and a random utility model was used to estimate willingness to pay including street lighting,person,161,"Cycle tracks were valued the most, followed by street lighting and bicycle lanes."
1,1,1,1,0,,Do All Roadway Users Want the Same Things?,@sanders_all_2013,2013,"Explore design preferences that could increase perceived traffic safety, walkability, bikeability, and economic vitality along urban arterials.",San Francisco Bay Area (US),Randomly intercept participants on foot or bicycle at eight sites along the study corridor,Subjective,Types of street improvements they thought would improve traffic safety.,Subjective,Subjective,Descriptive,Descriptive statistics,person,537,Increasing street lighting is the second top suggestions for cyclists to improve safety.
